"Kyn";"Ár";"Aldur";"Alls Aðfluttir umfram brottflutta";"Alls Aðfluttir";"Alls Brottfluttir";"Íslenskir ríkisborgarar Aðfluttir umfram brottflutta";"Íslenskir ríkisborgarar Aðfluttir";"Íslenskir ríkisborgarar Brottfluttir";"Erlendir ríkisborgarar Aðfluttir umfram brottflutta";"Erlendir ríkisborgarar Aðfluttir";"Erlendir ríkisborgarar Brottfluttir"
"Alls";"1986";"Alls";-261;2703;2964;-438;2041;2479;177;662;485
"Alls";"1986";"Á 1. ári";67;139;72;67;136;69;0;3;3
"Alls";"1986";" 1 árs";-9;65;74;-12;61;73;3;4;1
"Alls";"1986";" 2 ára";-12;60;72;-10;58;68;-2;2;4
"Alls";"1986";" 3 ára";-22;51;73;-21;45;66;-1;6;7
"Alls";"1986";" 4 ára";-1;58;59;0;53;53;-1;5;6
"Alls";"1986";" 5 ára";-15;44;59;-21;36;57;6;8;2
"Alls";"1986";" 6 ára";2;59;57;1;52;51;1;7;6
"Alls";"1986";" 7 ára";-9;38;47;-11;32;43;2;6;4
"Alls";"1986";" 8 ára";-3;33;36;-4;29;33;1;4;3
"Alls";"1986";" 9 ára";3;31;28;3;30;27;0;1;1
"Alls";"1986";" 10 ára";1;37;36;-3;28;31;4;9;5
"Alls";"1986";" 11 ára";5;35;30;0;27;27;5;8;3
"Alls";"1986";" 12 ára";5;36;31;2;30;28;3;6;3
"Alls";"1986";" 13 ára";1;28;27;1;27;26;0;1;1
"Alls";"1986";" 14 ára";-1;20;21;0;18;18;-1;2;3
"Alls";"1986";" 15 ára";8;30;22;7;26;19;1;4;3
"Alls";"1986";" 16 ára";-7;33;40;-12;24;36;5;9;4
"Alls";"1986";" 17 ára";8;53;45;0;29;29;8;24;16
"Alls";"1986";" 18 ára";-9;75;84;-14;44;58;5;31;26
"Alls";"1986";" 19 ára";11;94;83;-14;37;51;25;57;32
"Alls";"1986";" 20 ára";-38;105;143;-46;56;102;8;49;41
